tmdb_id,show_title,character_name,billing_order,tmdb_person_id,name,also_known_as,gender,birthday,deathday,age,place_of_birth,nationality,known_for_dept,biography,marriage_status,spouse_names,partner_names,profile_url,instagram_id,instagram_url,twitter_id,twitter_url,facebook_id,facebook_url,tiktok_id,tiktok_url,imdb_id,wikidata_id,popularity
242722,Shrimad Ramayan,Dashrath,5,1568077,Arav Chowdhary,Arav Chowdharry | Arav Chowdary | Aarav Chowdhary | Aarav Choudhary,Male,,,,"Jaipur, Rajasthan, India",India,Acting,Arav Choudhary is an Indian actor and model. He is best known for his role as Bhishma in the mythological TV show Mahabharat and as Indrajeet in Iss Pyaar Ko Kya Naam Doon?...Ek Baar Phir He is from Jaipur.,Unknown,,,https://image.tmdb.org/t/p/w500/3kUF12kKBGyrzi7qpTvoqEn1SZw.jpg,,,,,,,,,nm4234608,Q24572203,0.43
242722,Shrimad Ramayan,Kaushalya,6,4465847,Aanandee Tripathi,Anandi Tripathi,Female,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/u5Tma0mFjKBx29pJ7LEUuIeN4wF.jpg,,,,,,,,,,,0.09
242722,Shrimad Ramayan,Kaikeyi,7,4465848,Shilpa Saklani,,Unknown,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/9oQIRDiPvO732vlXdHdiZ7Uc7Y3.jpg,,,,,,,,,,,0.06
242722,Shrimad Ramayan,Shiva,8,1110116,Tarun Khanna,,Male,1972-02-23,,54,"New Delhi, India",India,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/puUE8PufQhZfqKiVbTuvzuct6s.jpg,,,,,Tarun.Khanna.Official.Page,https://www.facebook.com/Tarun.Khanna.Official.Page,,,nm2972520,Q16239045,0.33
242722,Shrimad Ramayan,Parvati,9,3630482,Aishwarya Raj Bhakuni,,Female,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/4geHAtvMAypiXukZNwcpZZTnwyy.jpg,,,,,,,,,,,0.28
242722,Shrimad Ramayan,Shahastra Ravan,10,1640837,Praneet Bhatt,প্রণীত ভাট | Bhat Fez | प्रनीत भट्ट,Male,1980-09-23,,45,"Srinagar, Jammu and Kashmir, India",India,Acting,"Praneet Bhat is an Indian television actor best known for his role as Shakuni in epic TV series Mahabharat (2013–2014).

After completing his engineering , Bhat worked with a software company, Wipro.

Bhat shifted to Mumbai in 2002, and after modelling,[6] he started his television career in 2004, and went on to appear on the television programs Kitni Mast Hai Zindagi, Hotel Kingston, Kituu Sabb Jaantii Hai, Shhh..Phir Koi Hai and Kaajjal.

He played the geeky character Aditya in Geet (2010–2011). He appeared in the role of Shakuni in the mythological saga Mahabharat. In September 2014, he became one of the contestants of eighth season of reality show Bigg Boss.

In November 2015, he married his longtime girlfriend, Kanchan Sharma. His Mahabharat and Bigg Boss close friends attended the we",Unknown,,,https://image.tmdb.org/t/p/w500/xD6xFFxaZXO0J6QmZzFEfNhIxA6.jpg,praneetbhat,https://www.instagram.com/praneetbhat/,praneetbhat,https://twitter.com/praneetbhat,,,,,nm5970968,,0.23
242722,Shrimad Ramayan,Janaka,11,4096374,Jiten Lalwani,,Unknown,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/7viOZ8zcPothSK0Q0BmueVuJeEe.jpg,,,,,,,,,,,0.05
242722,Shrimad Ramayan,Mandodari,12,2952037,Gurpreet Bedi,,Unknown,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/oQWK281zcsrgluCF7EJLKMQfMMl.jpg,,,,,,,,,,,0.08
242722,Shrimad Ramayan,Vibhishan,13,1710751,Kunal Bakshi,,Unknown,,,,,,Acting,,Unknown,,,,,,,,,,,,,,0.02
242722,Shrimad Ramayan,Sugriv / Vali,14,1697104,Malhar Pandya,,Unknown,,,,,,Acting,,Unknown,,,,,,,,,,,,,,0.06
301734,Muthu Alias Kaattaan,'Kaattan' Muthu,0,1123766,Vijay Sethupathi,Vijaya Gurunatha Sethupathi | Vijay Sethupathy  | விஜய் சேதுபதி | विजय सेतुपति | വിജയ് സേതുപതി,Male,1978-01-16,,48,"Rajapalayam, Tamil Nadu, India",India,Acting,"Vijay Sethupathi (born 16 January 1978) is an Indian film actor, producer, lyricist, and dialogue writer. Sethupathi works predominantly in Tamil besides few Telugu, Malayalam, and Hindi productions. Often referred to by fans and media as ""Makkal Selvan"" meaning ""People's Treasure"", he is considered to be one of the most talented and versatile actors of his generation.",Unknown,,,https://image.tmdb.org/t/p/w500/6qaMCgZ4MMBMYvTYEKCjLIdq0B5.jpg,actorvijaysethupathi,https://www.instagram.com/actorvijaysethupathi/,VijaySethuOffl,https://twitter.com/VijaySethuOffl,VijaySethupathi.Official,https://www.facebook.com/VijaySethupathi.Official,,,nm4043111,Q7929207,2.12
301734,Muthu Alias Kaattaan,Shivettan,1,53620,Milind Soman,,Male,1965-11-04,,60,"Glasgow, Scotland, UK",UK,Acting,"Milind Soman is an Indian model, actor, film producer & fitness promoter.

Soman was born in Glasgow, Scotland. His family moved to England where he lived until the age of seven, then his family moved back to India and settled in Mumbai in 1973 . He attended Dr. Antonio Da Silva High School and Jr. College of Commerce, Mumbai. Later, he completed his Diploma in Electrical Engineering from M. H. Saboo Siddik Polytechnic, Byculla.",Divorced,Mylène Jampanoï,,https://image.tmdb.org/t/p/w500/aG3PTGOkg780RCZZ7qAfUJJ1cQt.jpg,,,,,MilindRunning,https://www.facebook.com/MilindRunning,,,nm0813763,Q3181904,1.07
301734,Muthu Alias Kaattaan,Johny,2,1544619,Sudev Nair,,Male,1985-04-14,,40,"Mumbai, Maharashtra, India",India,Acting,"Sudev Nair is an Indian film actor known for his performance in the Malayalam film My Life Partner, for which he was awarded the Kerala State Film Award for Best Actor in 2015.

Sudev Nair is an Indian film actor known for his performance in the Malayalam film My Life Partner, for which he was awarded the Kerala State Film Award for Best Actor in 2015. His other works include the Hindi film Gulaab Gang (2014) and the Malayalam film Anarkali (2015). He also played a notable role in the movie Karinkunnam 6'S. He also played the title character in the movie Ezra, along with Prithviraj Sukumaran.",Unknown,,,https://image.tmdb.org/t/p/w500/6x111KVuthpPOGJYTvdXLmh3J3p.jpg,,,,,TheSudevNair,https://www.facebook.com/TheSudevNair,,,nm4710099,Q21006064,0.59
301734,Muthu Alias Kaattaan,Kaalai Pandiyan,3,3187656,Vadivel Murugan,Murugan Vadivel  | Kodangi Vadivel Murugan | Kodaangi Vadivel | Kodangi Vadivelu | Kodaangi Vadivelu,Male,1983-07-05,,42,"Tirupur, Tamil Nadu, India",India,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/h7Il1Vj3xZkBnfALq7hqM7cR0Jk.jpg,,,murugan_vadivel,https://twitter.com/murugan_vadivel,,,,,,,2.16
301734,Muthu Alias Kaattaan,Meena,4,591048,Risha,Risha Jacobs | Risha Jacop | Risha Jacobs Monikaa V T,Female,,,,,,Acting,,Unknown,,,,rishajacobs_official,https://www.instagram.com/rishajacobs_official/,JacobsRisha,https://twitter.com/JacobsRisha,,,,,nm7201622,,0.91
301734,Muthu Alias Kaattaan,Lalitha,5,3237621,VJ Parvathy,VJ Paaru,Female,1996-04-14,,29,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/3KrKGpvVOmbE13PrXLENGrRLQ5E.jpg,vjpaaru,https://www.instagram.com/vjpaaru/,parvathy_saran,https://twitter.com/parvathy_saran,,,,,nm12424435,,1.59
301734,Muthu Alias Kaattaan,,6,4608134,Kalaivani Bhaskar,,Female,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/4qCVDzgCf0J7673ZCkSvFtlS9gl.jpg,,,,,,,,,nm16292443,,0.61
301734,Muthu Alias Kaattaan,Siddarthan,7,1391946,Muthukumar,Vettai Muthukumar | Vettai Muthu Kumar | Muthu Kumar,Male,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/oPaJbhh6FqbotLju84LDlZ6ymhu.jpg,,,,,Actor-Muthu-Kumar-330146637016701,https://www.facebook.com/Actor-Muthu-Kumar-330146637016701,,,nm6147163,,0.63
301734,Muthu Alias Kaattaan,Sittu,8,3919942,Abi Nakshathra,Abhi Nakshatra | Abi Nakhshatra | Abhi Nakhshatra | Abi Natchatra | Abi Nakshatra,Female,2005-06-19,,20,"Madurai, Tamil Nadu, India",India,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/wmWtu9nh9TvP0jAiBE2IEtiEtwQ.jpg,maniabiaathi,https://www.instagram.com/maniabiaathi/,Abiaathimani,https://twitter.com/Abiaathimani,,,,,nm12849734,,1.4
301734,Muthu Alias Kaattaan,,9,1877510,Gemini Mani,,Unknown,,,,,,Acting,,Unknown,,,,,,,,,,,,,,0.07
301734,Muthu Alias Kaattaan,Thangamufi,10,585374,Singampuli,D. Singampuli | சிங்கம்புலி | D.P. Singapuli | Ram Sathya | Singam Puli,Male,1968-07-06,,57,"Theni, Tamil Nadu, India",India,Acting,"Singampuli is a Tamil film actor and director, especially appearing in supporting roles in films.

Singampuli was born and brought up in Theni, Periyakulam and after studying engineering in Bangalore, he arrived in Chennai looking for a career in films. During his stint as an assistant director with Sundar C, Singampuli suggested the original plot point of Unnaithedi to the director and Sundar wrote the script of the film within a week, before discussing the line with actor Ajith Kumar. Ajith was initially unimpressed but agreed to do the romantic story anyway, mentioning that if the film became a success he would feature in a future film to be directed by Singampuli. Subsequently, he agreed terms to work in the 2002 action film Red, a story telling the tale of a Madurai-based revolutionar",Unknown,,,https://image.tmdb.org/t/p/w500/aB5dVUeJU64IAatguQgbHHbUZsj.jpg,,,,,,,,,nm4020011,,0.78
301734,Muthu Alias Kaattaan,Meesai Perusu,11,584919,Balaji Sakthivel,Balaji Shaktivel,Male,1964-01-01,,62,"Dindigul, Tamil Nadu, India",India,Directing,"Balaji Sakthivel began as an assistant director of popular director S. Shankar. In 2002, he directed his first film, Samurai for Vikram - however despite receiving positive reviews, did not make it big at the box-office. After a two-year break, he released Kaadhal under the S Pictures banner, the production house of Shankar. The film starring relatively new actors, Bharath and Sandhya made it big at the box-office and earned the stars and the director instant recognition. His Vazhakku Enn 18/9 won the National Film Award for Best Feature Film in Tamil.Balaji Sakthivel is married to Dr. L.R.S. Kalanithi, who is an Associate Professor of English and Vice-principal (Students' Affairs) of Guru Nanak College (Autonomous), Chennai. They have two children, a daughter (B.K.Koushi Mahalakshmi) born",Unknown,,,https://image.tmdb.org/t/p/w500/d4j8H4uYjQMTRMxw8CIN9igIE7.jpg,,,,,,,,,nm1475260,Q4849850,0.45
301734,Muthu Alias Kaattaan,Benny,12,1310402,Irshad,ഇർഷാദ് | Irshadh | Irshad | Ali Irshad | Irshad Ali,Male,1972-08-15,,53,"Thrissur, Kerala, India",India,Acting,Irshad is an Indian actor of Malayalam & Telugu films.,Unknown,,,https://image.tmdb.org/t/p/w500/fQNMwd91fjYETkiWe8QDD8wNdV.jpg,,,,,ActorIrshad,https://www.facebook.com/ActorIrshad,,,nm1411548,Q6073900,0.58
301734,Muthu Alias Kaattaan,Karthik,13,5042304,Mohan Babu,Mohan Babu AVP | Mohan Babu Erode,Male,1998-05-06,,27,"Erode, Tamil Nadu, India",India,Acting,"Mohan Babu, is an Indian individual with diverse professional roles, including being a film critic, obscurity expert specializing in anti-piracy efforts, podcast host, and entrepreneur. Born on May 6, 1998, in Erode, India, He embarked on his career at a young age of 13, initially focusing on anti-piracy research. He expanded his reach by sharing his research on piracy through audio content on Spotify in 2023, subsequently broadening his podcast distribution to various international platforms such as YouTube Music, Deezer, Tidal, Apple Music, iTunes, Amazon Music, TikTok, Facebook, and Instagram. As he gained prominence in the realm of obscurity, Mohan Babu established a YouTube channel to provide valuable advice, guidance, and support to fellow producers.",Unknown,,,https://image.tmdb.org/t/p/w500/j3D4aJxQmKswTiwKpwLIdYO85AY.jpg,mohanbabuavp,https://www.instagram.com/mohanbabuavp/,mohanbabuavp,https://twitter.com/mohanbabuavp,mohanbabuavp,https://www.facebook.com/mohanbabuavp,,,nm15365812,,0.16
116479,Anupamaa,Anupamaa Vanraj Shah,0,998635,Rupali Ganguly,Rupa Gangooly | Rupali Ganguly | Roopali Ganguly,Female,1977-04-05,,48,"Kolkata, India",India,Acting,"Rupali Ganguly is an Indian actress primarily known for her work in television. Born to film director Anil Ganguly, Ganguly started her acting career as a child, making her acting debut at age seven in her father's film Saaheb",Unknown,,,https://image.tmdb.org/t/p/w500/9hBqht5Zf290fxy63U97WlytyDc.jpg,rupaliganguly,https://www.instagram.com/rupaliganguly/,TheRupali,https://twitter.com/TheRupali,,,,,nm3392486,,0.33
116479,Anupamaa,"Raahi ""Aadhya"" Kapadia",1,2812437,Adrija Roy,Adrija Addy Roy,Female,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/tWTAE6sWWrcC8hcrdjqBuWLw3mR.jpg,,,,,,,,,,,0.2
116479,Anupamaa,"Prem ""Tinku"" Kothari",2,5561850,Shivam Khajuria,,Unknown,,,,,,Acting,,Unknown,,,,,,,,,,,,,,0.08
116479,Anupamaa,Vanraj Shah,3,559477,Sudhanshu Pandey,Sudanshu Pandde,Male,1974-08-22,,51,"Lucknow, Uttar Pradesh, India",India,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/tDyf76J2riJcIVjQPCuGKPtuPHU.jpg,,,,,,,,,nm0659249,Q4445352,0.49
116479,Anupamaa,Samar Shah,4,2931857,Paras Kalnawat,,Unknown,,,,,,Acting,,Unknown,,,,,,,,,,,,,,0.05
116479,Anupamaa,Kavya Gandhi,5,587987,Madalasa Sharma,Madlasa Sharma | Madalasa Sarma | Madlasa Sarma | ਮਦਾਲਸਾ ਸ਼ਰਮਾ | మదాలస శర్మ,Female,1991-09-26,,34,"Mumbai, Maharashtra, India",India,Acting,"Madalsa Sharma (or Madalasa Sharma) is an Indian model and actress. She has acted in films in Hindi, Telugu, Kannada, Tamil, German and Punjabi languages.",Married,Mahaakshay Chakraborty,,https://image.tmdb.org/t/p/w500/edAAlPiwSDj4j8PfUQaS4bvPTqt.jpg,,,,,,,,,nm3817267,Q16200991,0.24
116479,Anupamaa,Rakhi Dave,6,2624132,Tasneem Sheikh,Tanisha Nerurkar,Female,1980-08-04,,45,"Jammu, Jammu and Kashmir, India",India,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/dkXbuq2WsrSUeKKuyZnKunrPMoO.jpg,,,,,,,,,,,0.11
116479,Anupamaa,Pakhi Shah,7,2931855,Muskaan Bamne,,Unknown,,,,,,Acting,,Unknown,,,,,,,,,,,,,,0.23
204889,Mithai,Mithai Das Modak,0,4089100,Soumitrisha Kundu,,Unknown,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/sQ8yfmBaOc2EWAWdgL9N8cTw6k2.jpg,,,,,,,,,,,0.07
204889,Mithai,Siddhartha Modak,1,2046782,Adrit Roy,,Male,,,,,,Acting,Adrit Roy (born 25 May 1992) is an Indian Bengali film and television actor and is well known for portraying the character of Siddhartho Modak in Mithai.,Unknown,,,https://image.tmdb.org/t/p/w500/1sbWnPBfoJH34HD7135LcoDlqZZ.jpg,,,,,,,,,,,0.08
204889,Mithai,Siddheshwar Modak,2,1261148,Biswajit Chakraborty,বিশ্বজিৎ চক্রবর্তী | विश्वजीत चक्रवर्ती,Male,1958-10-29,,67,"Calcutta, West Bengal, India",India,Acting,"Biswajit Chakraborty (October 29, 1948 -) is an Indian film actor who appears predominantly in Bengali films. A veteran of Bengali cinema with over 140 film credits, Biswajit made his debut with the 1993 film Sunya Theke Suru. Notable acting credits include Autograph (2010), Bye Bye Bangkok (2011), Awara (2012), Bhooter Bhabishyat (2012), Jaatishwar (2014), Rajkahini (2015) and Ichchhemotir Gappo (2015). In 2016, the actor forayed into Bollywood with a minor role in the thriller film Kahaani 2 (2016). His notable television credits include Ganer Opare and Bandhan. In 2017, he featured in the Bengali drama Mandobasar Galpo, directed by Tathagata Banerjee. His other releases include Hoyto Manush Noy, Aam Sutra, Chirodiner - Ek Annyo Premer Golpo, Girlfriend, Dotara, Parineeta, Jaanbaaz, Soto",Unknown,,,https://image.tmdb.org/t/p/w500/ojhY03OYjfGfdauuQAB13nM0HIK.jpg,,,,,,,,,nm2270922,Q4918622,0.86
204889,Mithai,Sushoma Ghosh Modak,3,4001086,Swagata Basu,,Unknown,,,,,,Acting,,Unknown,,,,,,,,,,,,,,0.03
204889,Mithai,"Sreetama ""Sree"" Modak Mitra",4,6068283,Diya Mukherjee,Diya Mukherjee,Female,1999-05-17,,26,"Madhyamgram, Kolkata, West Bengal, India",India,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/93wGWGDblkQV3bXw7z9OE4MtXms.jpg,,,,,,,,,,,0.04
271879,Jagriti - Ek Nayi Subah,Kalikant Thakur,0,92692,Arya Babbar,,Male,1981-05-24,,44,"Breach Candy Hospital, Mumbai",Mumbai,Acting,"From Wikipedia, the free encyclopedia.

Arya Babbar (Mumbai, 24 May 1981 –) is an Indian actor.

Description above from the Wikipedia article Arya Babbar, licensed under CC-BY-SA, full list of contributors on Wikipedia.",Married,Jasmine A. Babbar,,https://image.tmdb.org/t/p/w500/fPnrbaQVKuZKdKDCkwGhnqsGqVS.jpg,,,,,,,,,nm1191646,Q2752875,0.48
271879,Jagriti - Ek Nayi Subah,Young Jagriti,1,4965995,Asmi Deo,,Unknown,,,,,,Acting,,Unknown,,,,,,,,,,,,,,0.05
271879,Jagriti - Ek Nayi Subah,,2,2326882,Prakhar Saxena,,Unknown,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/wcRzBtLQS3PpyyvlbRTn5yyGCRr.jpg,,,,,,,,,,,0.1
271879,Jagriti - Ek Nayi Subah,,3,4965997,Yash Gera,,Unknown,,,,,,Acting,,Unknown,,,,,,,,,,,,,,0.03
271879,Jagriti - Ek Nayi Subah,"Jagriti ""Jaggu"" Bahl Thakur",4,6011769,Rachana Mistry,,Unknown,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/omH0ZMKeoXCHzLaDQ6dgY7IkVmy.jpg,,,,,,,,,,,0.03
271879,Jagriti - Ek Nayi Subah,Suraj Thakur,5,2497068,Vijayendra Kumeria,,Male,1986-10-12,,39,"Ahmedabad, India",India,Acting,Vijayendra Kumeria is an Indian television actor known for playing Suraj Rajvanshi in Colors TV's Udaan.,Unknown,,,https://image.tmdb.org/t/p/w500/vIvMMQICE3ownl6bimNWRcNy68i.jpg,,,,,,,,,,,0.15
247769,The Great Indian Kapil Show,Self - Host,0,1513214,Kapil Sharma,,Male,1981-04-02,,45,"Amritsar, India",India,Acting,,Married,Ginni Chatrath,,https://image.tmdb.org/t/p/w500/bu0jBQkDJmXCuISoJwktwgamkRX.jpg,,,,,,,,,nm6151574,Q6366618,1.35
247769,The Great Indian Kapil Show,Chumbak Mittal,1,1485723,Sunil Grover,,Male,1977-08-03,,48,"Sirsa, Haryana, India",India,Acting,Sunil Grover is an Indian actor and comedian who works in Hindi and Punjabi language films and television. He came into limelight for his portrayal as Gutthi on television show Comedy Nights with Kapil.,Unknown,,,https://image.tmdb.org/t/p/w500/ing2HJHnpvl7uzEQpv5M7NP4XK8.jpg,,,,,,,,,nm1571487,Q7640298,1.11
247769,The Great Indian Kapil Show,Air Hostess Mona,2,1055969,Krishna Abhishek,Krushna Abhishek,Male,,,,,,Acting,,Married,Kashmira Shah,,https://image.tmdb.org/t/p/w500/2wJ0f2nJXUdVQ7R6NHQdXiIu4YE.jpg,,,,,,,,,nm2243737,Q6437374,0.36
247769,The Great Indian Kapil Show,Dhaniya Lal,3,1632609,Kiku Sharda,,Male,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/j1yxHbF12tDRoTqqLVqdJzCo9ro.jpg,,,,,,,,,nm2214392,Q16223952,0.55
247769,The Great Indian Kapil Show,Self,4,87304,Archana Puran Singh,,Female,1962-03-26,,64,"Dehradun, Uttarakhand, India",India,Acting,"​From Wikipedia, the free encyclopedia.  

Archana Puran Singh (born 26 September 1962) is an Indian television presenter and film actress. She is most known for comedy roles, and as a judge on comedy shows, like Sony TV India's Comedy Circus.

Description above from the Wikipedia article Archana Puran Singh, licensed under CC-BY-SA, full list of contributors on Wikipedia.",Married,Parmeet Sethi,,https://image.tmdb.org/t/p/w500/uc6QJNnT8q0wNnZOZi0QW2hE1wq.jpg,,,,,,,,,nm0700687,Q3595522,1.02
247769,The Great Indian Kapil Show,Self,6,140770,Navjot Singh Sidhu,Navjot Sidhu | Navjot Singh,Male,1963-10-20,,62,"Patiala Punjab, India",India,Acting,"Navjot Singh Sidhu is an Indian politician, television personality and former cricketer. He was the Minister of Power and Renewable Energy Sources of the State of Punjab. As a professional cricketer, Sidhu had a career spanning over 19 years after his first-class debut in 1981–82.",Unknown,,,https://image.tmdb.org/t/p/w500/tSBr7AVFmZYhIEJkqHgvBsanqi4.jpg,,,,,,,,,nm2218906,,0.45
257530,Laughter Chefs Unlimited Entertainment,Self-Hosting,0,1656028,Bharti Singh,,Female,1984-07-03,,41,"Amritsar, Punjab, India",India,Acting,"Bharti Singh was born on July 3, 1984 in Amritsar, Punjab, India. She is an actress and writer, known for The Kapil Sharma Show (2016), Comedy Nights Live (2016) and Rangan Style (2014). She has been married to Haarsh Limbachiyaa since December 3, 2017",Unknown,,,https://image.tmdb.org/t/p/w500/plZJAk6xToOUiELg6pU3hOYt1te.jpg,,,,,,,,,,,0.94
257530,Laughter Chefs Unlimited Entertainment,Self-Judge,1,4785913,Harpal Singh Shokhi,,Male,,,,"Kharagpur, West Bengal, India",India,Crew,"Harpal Singh Sokhi is an Indian celebrity chef and restaurateur. He began his career in 1987 at The Oberoi in Bhubaneswar, becoming an executive chef six years later. Over the following years, he worked at several luxury hotel chains in India. He is best known for using the catchphrase ""Namak Shamak"".",Unknown,,,https://image.tmdb.org/t/p/w500/9cF7fTGeycw4FIVsZsKVD7Mamau.jpg,,,,,,,,,,,0.09
